		1.0
⟬	⟬	0.997148288973384
⟭	⟭	1.0
e	e	0.8471718249733191
»	»	1.0
þ	þ	1.0
«	«	1.0
-	-	1.0
q	q	0.9247311827956989
i	i	0.8218645948945617
ù	ù	1.0
¼	¼	1.0
à	à	1.0
h	h	0.8293963254593176
x	x	0.8866666666666667
z	z	0.8024691358024691
é	é	1.0
f	f	0.9090909090909091
a	a	0.8467507274490785
¨	¨	1.0
¤	¤	1.0
¡	¡	1.0
á	á	1.0
æ	æ	1.0
s	s	0.8548387096774194
°	°	1.0
¿	¿	1.0
ì	ì	1.0
n	n	0.9078554855817037
ü	ü	1.0
g	g	0.9081081081081082
í	í	1.0
o	o	0.8699743370402053
r	r	0.8702740201179328
ó	ó	1.0
j	j	0.9130434782608695
ø	ø	1.0
ä	ä	1.0
î	î	1.0
ð	ð	1.0
b	b	0.909710391822828
'	'	0.71875
´	´	1.0
§	§	1.0
¾	¾	1.0
¹	¹	1.0
¦	¦	1.0
ç	ç	1.0
u	u	0.8858905165767155
å	å	1.0
y	y	0.912303664921466
ª	ª	1.0
è	è	1.0
’	’	1.0
­	­	1.0
ô	ô	1.0
ß	ß	1.0
±	±	1.0
ú	ú	1.0
ñ	ñ	1.0
â	â	1.0
c	c	0.8568527918781725
l	l	0.8491674828599413
d	d	0.9192592592592592
û	û	1.0
®	®	1.0
p	p	0.9087136929460581
³	³	1.0
w	w	0.9065934065934066
t	t	0.88713722680043
©	©	1.0
v	v	0.9405737704918032
ê	ê	1.0
ò	ò	1.0
¢	¢	1.0
ï	ï	1.0
k	k	0.8686868686868687
.	.	1.0
m	m	0.844675740592474
º	º	1.0
ë	ë	1.0
ö	ö	1.0
¶	¶	1.0
ã	ã	1.0
⟬magn	⟬magn	0.9090909090909091
nifi	nifi	0.8275862068965517
c	ci	0.0040609137055837565
ic	ici	0.01749271137026239
	i	0.10094909404659187
ice	icie	0.05263157894736841
agn	agn	0.8695652173913043
gni	gni	0.7352941176470589
icen	icien	0.07407407407407407
nt	nt	0.9086206896551724
ma	ma	0.7446808510638298
magni	magni	0.9523809523809523
ific	ific	0.6190476190476191
⟬ma	⟬ma	0.9310344827586207
⟬m	⟬m	0.9902912621359223
magn	magn	0.9090909090909091
gnifi	gnifi	0.8518518518518519
⟬mag	⟬mag	0.9615384615384616
nif	nif	0.8064516129032258
ce	cie	0.010810810810810817
agni	agni	0.9523809523809523
ifi	ifi	0.6904761904761905
ag	ag	0.7899159663865546
ent	ent	0.7655786350148368
gn	gn	0.7017543859649122
e	ie	0.002774813233724652
fic	fici	0.043478260869565216
fi	fi	0.8083333333333333
if	if	0.7777777777777778
ent	ient	0.005934718100890209
ni	ni	0.6018518518518519
ic	ic	0.7201166180758017
fic	fic	0.7246376811594203
cen	cien	0.033898305084745756
cent	cient	0.05263157894736841
agnif	agnif	0.9523809523809523
fice	ficie	0.08695652173913045
en	ien	0.004149377593360997
en	en	0.7648686030428768
mag	mag	0.8285714285714286
gnif	gnif	0.8571428571428571
ific	ifici	0.047619047619047616
nific	nific	0.7857142857142857
sel	sel	0.6764705882352942
m	ml	0.0016012810248198562
ldo	ldo	0.9523809523809523
	l	0.08455565142364108
eldo	eldo	0.9523809523809523
ldom	ldom	0.9090909090909091
el	el	0.7196652719665272
m	mly	0.0016012810248198562
dom	doml	0.07142857142857141
ld	ld	0.7017543859649122
seldo	seldo	0.9523809523809523
⟬s	⟬s	0.9900990099009901
seld	seld	0.9523809523809523
om	om	0.8339483394833949
⟬sel	⟬sel	0.9523809523809523
do	do	0.8428571428571429
om	oml	0.007380073800738007
	y	0.0077653149266609135
se	se	0.6181102362204725
dom	domly	0.07142857142857141
eldom	eldom	0.9523809523809523
⟬se	⟬se	0.9259259259259259
ldom	ldoml	0.0909090909090909
om	omly	0.007380073800738007
⟬seld	⟬seld	0.9523809523809523
	ly	0.0017256255392579813
dom	dom	0.8571428571428571
eld	eld	0.8461538461538461
nter	nter	0.8541666666666666
nment	nment	0.6590909090909091
rtainm	ratinm	0.09523809523809525
enter	enter	0.8695652173913043
inmen	inmen	0.9523809523809523
tertai	terati	0.09523809523809525
tainme	atinme	0.09523809523809525
ter	ter	0.7028985507246377
rta	rat	0.10344827586206899
ertai	erati	0.11111111111111109
rtai	rati	0.11111111111111109
tain	atin	0.06976744186046512
te	te	0.7695035460992907
tai	ati	0.075
in	in	0.8133669609079445
erta	erat	0.1153846153846154
nmen	nmen	0.6444444444444445
ente	ente	0.875
nterta	nterat	0.09523809523809525
rtain	ratin	0.11111111111111109
inme	inme	0.9523809523809523
er	er	0.7867298578199052
⟬ente	⟬ente	0.9090909090909091
terta	terat	0.0909090909090909
nm	nm	0.673469387755102
⟬e	⟬e	0.9444444444444444
tainm	atinm	0.09523809523809525
ment	ment	0.8490566037735849
ta	at	0.021097046413502105
nte	nte	0.8857142857142857
men	men	0.7715736040609137
inm	inm	0.9523809523809523
me	me	0.746875
⟬ent	⟬ent	0.896551724137931
ertain	eratin	0.13043478260869565
nme	nme	0.6590909090909091
⟬en	⟬en	0.9242424242424242
har	har	0.7142857142857143
ra	rra	0.0547945205479452
ar	ar	0.7426778242677824
ed	es	0.0074766355140186945
as	ras	0.06
	r	0.07937877480586711
⟬har	⟬har	0.7446808510638298
asse	rasse	0.07692307692307693
sse	sse	0.6756756756756757
sed	ses	0.03225806451612903
ha	ha	0.8062015503875969
ras	rras	0.2608695652173913
as	as	0.725
ass	ass	0.5192307692307693
d	s	0.0037037037037037025
ar	arr	0.04811715481171548
rass	rrass	0.13333333333333333
asse	asse	0.6410256410256411
ss	ss	0.6053511705685619
har	harr	0.19047619047619047
⟬har	⟬harr	0.2553191489361702
r	rr	0.016302462712452313
ssed	sses	0.054054054054054064
⟬h	⟬h	0.9552238805970149
assed	asses	0.07407407407407407
ara	arra	0.1836734693877551
ass	rass	0.0576923076923077
aras	arras	0.32432432432432434
hara	harra	0.2608695652173913
a	ra	0.00872938894277401
⟬ha	⟬ha	0.9
ddit	ddt	0.10714285714285714
add	add	0.7857142857142857
ditio	dtio	0.11428571428571427
on	on	0.8920118343195266
dit	dt	0.11904761904761905
ddi	dd	0.10344827586206899
itio	tio	0.14864864864864866
⟬addi	⟬add	0.10714285714285714
diti	dti	0.10256410256410255
⟬add	⟬add	0.8048780487804879
iti	ti	0.15436241610738255
ti	ti	0.7511045655375552
dditi	ddti	0.10714285714285714
ition	tion	0.1746031746031746
i		0.06354051054384018
ion	ion	0.8273972602739726
⟬a	⟬a	0.982824427480916
tio	tio	0.7816091954022989
ad	ad	0.8421052631578947
io	io	0.8106796116504854
